,Place of interest,Type of place,Place address,Latitude,Longitude
132,Colegio Público La Latina,Colegio Público,Calle Maqueda 130,40.388887867589375,-3.7620245761086015
133,Colegio Público La Rioja,Colegio Público,Calle Leon Felipe 3,40.388148628884075,-3.637009550808539
134,Colegio Público Legado Crespo,Colegio Público,Paseo Acacias 2,40.404805864280796,-3.7039161461158803
135,Colegio Público Leopoldo Alas,Colegio Público,Calle Pedrezuela 18,40.42824645764569,-3.6534325307123314
136,Colegio Público Leopoldo Calvo Sotelo,Colegio Público,Calle Castiello De Jaca 2,40.50083316755261,-3.675143321637599
137,Colegio Público Lepanto,Colegio Público,Calle Valderrey 9,40.46843902268448,-3.7210473028721722
138,Colegio Público Lope de Vega,Colegio Público,Calle Inglaterra 8,40.39460546257796,-3.7232402248952865
139,Colegio Público Lorenzo Luzuriaga,Colegio Público,Calle Valencia De Don Juan 13,40.48664862656937,-3.7016083209102453
140,Colegio Público Los Almendros,Colegio Público,Calle Ladera De Los Almendros 45,40.39629114218003,-3.625774203881319
141,Colegio Público Los Rosales,Colegio Público,Avenida Los Rosales 131,40.35175390495651,-3.677834634453844
142,Colegio Público Loyola de Palacio,Colegio Público,Calle Embalse De Navacerrada 60,40.36064250120841,-3.5984510871197415
143,Colegio Público Luis Bello,Colegio Público,Calle Luis Cabrera 66,40.44368060148635,-3.6735452726272593
144,Colegio Público Luis Cernuda,Colegio Público,Calle Carril Del Conde 64,40.46131540437997,-3.6539887453598747
145,Colegio Público Luis de Góngora,Colegio Público,Calle Sarria 49,40.47459730345878,-3.714412445984112
146,Colegio Público Madrid Sur,Colegio Público,Calle Puerto De Balbaran 133,40.37657755418934,-3.6553480036748622
147,Colegio Público Maestro Padilla,Colegio Público,Avenida Peseta 112,40.3626409159049,-3.747372159760245
148,Colegio Público Manuel Bartolomé Cossío,Colegio Público,Calle Jose De Cadalso 19,40.38135498597348,-3.7717294965452615
149,Colegio Público Manuel Núñez de Arenas,Colegio Público,Calle Martos 120,40.37525283072323,-3.661743346960403
150,Colegio Público Manuel Sáinz de Vicuña,Colegio Público,Calle Camino De Los Vinateros 104,40.4094369606419,-3.6499859326517705
151,Colegio Público Manuel de Falla,Colegio Público,Calle Jose Ortuño Ponce 2,40.34625498819677,-3.705508952749143
152,Colegio Público Marcelo Usera,Colegio Público,Calle Perales De Tajuña 1,40.3871562007155,-3.699608733660164
153,Colegio Público Margaret Thatcher,Colegio Público,Glorieta Playa De San Lorenzo 4,40.47047719759706,-3.5904597549954724
154,Colegio Público Mariano José de Larra,Colegio Público,Calle Longares 11,40.43061532814977,-3.6089740337850564
155,Colegio Público Marqués de Marcenado,Colegio Público,Calle Linneo 31,40.410370492110424,-3.72048608485198
156,Colegio Público Marqués de Suanzes,Colegio Público,Avenida Veinticinco De Septiembre 1,40.44309078731439,-3.6245571705517694
157,Colegio Público Martínez Montañés,Colegio Público,Calle Hacienda De Pavones 223,40.40191354205018,-3.6339103602187524
158,Colegio Público María Moliner,Colegio Público,Calle Arcos De Jalon 34,40.42217402076163,-3.619118046203692
159,Colegio Público María de Villota,Colegio Público,Calle Enrique Garcia Alvarez 11,40.38235733881085,-3.6151408497888227
160,Colegio Público Menéndez Pelayo,Colegio Público,Calle Mendez Alvaro 16,40.40557510310644,-3.691396695437019
161,Colegio Público Menéndez Pidal,Colegio Público,Calle Encomienda De Palacios 85,40.400540243883796,-3.6411565174428118
162,Colegio Público Meseta de Orcasitas,Colegio Público,Calle Camino Viejo De Villaverde 1,40.37194535398157,-3.7105237988872513
163,Colegio Público Mesonero Romanos,Colegio Público,Calle Pont De Molins 31,40.39368443066321,-3.644378931194483
164,Colegio Público Miguel Blasco Vilatela,Colegio Público,Calle Hermanos Garcia Noblejas 70,40.42934657144525,-3.6321872882400443
165,Colegio Público Miguel Servet,Colegio Público,Calle Fragata 33,40.39409637138602,-3.736808786537968
166,Colegio Público Miguel de Unamuno,Colegio Público,Calle Alicante 5,40.39428331181165,-3.6934728308868783
167,Colegio Público Mirasierra,Colegio Público,Calle La Maso 22,40.49113903549112,-3.7141984471966625
168,Colegio Público Monte de El Pardo,Colegio Público,Avenida Guardia 19,40.51715726859882,-3.774264310704681
169,Colegio Público Méjico (México),Colegio Público,Avenida Badajoz 74,40.44348651514203,-3.650809049182787
170,Colegio Público Méndez Núñez,Colegio Público,Calle Alicun 9,40.47897694855767,-3.659634305967847
171,Colegio Público Navas de Tolosa,Colegio Público,Calle Benimamet 109,40.344340447262475,-3.685296004324213
172,Colegio Público Nuestra Señora de la Almudena,Colegio Público,Calle Lope De Rueda 48,40.419015614377635,-3.6778727223264904
173,Colegio Público Nuestra Señora de la Concepción,Colegio Público,Calle Virgen Del Sagrario 24,40.43714842135485,-3.6500522880397286
174,Colegio Público Nuestra Señora de la Fuencisla,Colegio Público,Calle Tomelloso 39,40.380200366406136,-3.698252688578992
175,Colegio Público Nuestra Señora de la Luz,Colegio Público,Calle Magnesia 9,40.34365972711248,-3.705611429857769
176,Colegio Público Nuestra Señora de la Paloma,Colegio Público,Calle Tabernillas 2,40.4110845196558,-3.711383150975494
177,Colegio Público Nuestra Señora del Lucero,Colegio Público,Calle Muñico 1,40.40242068072587,-3.7410476655898712
178,Colegio Público Nuria Espert,Colegio Público,Calle Maria Reiche 34,40.487409274945925,-3.6110407043008768
179,Colegio Público Pablo Picasso,Colegio Público,Calle Angel Luis De La Herran 35,40.47078626667984,-3.647156116262385
180,Colegio Público Padre Coloma,Colegio Público,Calle Gutierrez Canales 19,40.448484963114275,-3.6148900571656988
181,Colegio Público Padre Mariana,Colegio Público,Ronda Sur 145,40.37703559395701,-3.671302626256522
182,Colegio Público Padre Poveda,Colegio Público,Avenida Alfonso Xiii 23,40.451218874985805,-3.6677240367753114
183,Colegio Público Palacio Valdés,Colegio Público,Paseo Prado 38,40.41055699750786,-3.6929209140194783
184,Colegio Público Palomeras Bajas,Colegio Público,Calle Felipe De Diego 6,40.37919484869876,-3.6608630426434994
185,Colegio Público Parque Aluche,Colegio Público,Calle Quero 47,40.39083157827759,-3.760997850579394
186,Colegio Público Parque Eugenia de Montijo,Colegio Público,Calle Parque Eugenia De Montijo 28,40.37837446977044,-3.7523641127237983
187,Colegio Público Pasamonte,Colegio Público,Avenida Doctor Garcia Tapia 47,40.41226776087093,-3.6480330885473093
188,Colegio Público Patriarca Obispo Eijo y Garay,Colegio Público,Calle Lopez De Hoyos 40,40.43969634718427,-3.6816176968334515
189,Colegio Público Pedro Duque,Colegio Público,Calle Marmolina 5,40.39721845156279,-3.607306131972689
190,Colegio Público Perú,Colegio Público,Calle Baleares 18,40.39379355659199,-3.713263165805392
191,Colegio Público Pi I Margall,Colegio Público,Plaza Dos De Mayo 2,40.42679288775549,-3.7045815049836723
192,Colegio Público Pinar de San José,Colegio Público,Calle Patrimonio De La Humanidad 39,40.36301638063713,-3.764359559786085
193,Colegio Público Pinar del Rey,Colegio Público,Avenida San Luis 23,40.471620244949925,-3.6542420626066923
194,Colegio Público Pintor Rosales,Colegio Público,Calle Principe De Vergara 139,40.444631112841606,-3.6786214824583503
195,Colegio Público Plácido Domingo,Colegio Público,Calle Tejo 5,40.39744510759389,-3.678351566632272
196,Colegio Público Portugal,Colegio Público,Calle Juan Alvarez Mendizabal 20,40.42491865180926,-3.7149121447760582
197,Colegio Público Pradolongo,Colegio Público,Calle Parque De La Paloma 9,40.37893066302815,-3.7158394380500623
198,Colegio Público Príncipe de Asturias,Colegio Público,Calle Kant 2,40.54156879341023,-3.6968198242534527
199,Colegio Público Puerto Rico,Colegio Público,Calle Segura 74,40.36794449938085,-3.7193980638250013
200,Colegio Público Pío Baroja,Colegio Público,Calle Luis De Hoyos Sainz 84,40.40354001887506,-3.6379441929941656
201,Colegio Público Pío XII,Colegio Público,Calle Delfin 2,40.46693859499291,-3.693889291907082
202,Colegio Público Rabindranath Tagore,Colegio Público,Calle Julio Palacios 35,40.48309753300499,-3.695908037156805
203,Colegio Público Ramiro de Maeztu,Colegio Público,Calle Serrano 127,40.44209298097929,-3.6861462152769775
204,Colegio Público Ramón Gómez de la Serna,Colegio Público,Calle Godella 170,40.33969327538041,-3.689581642256062
205,Colegio Público Ramón María del Valle Inclán,Colegio Público,Calle Alconera 1,40.429854215285445,-3.618280698226673
206,Colegio Público Ramón Pérez de Ayala,Colegio Público,Calle Motilla Del Palancar 19,40.46634990040974,-3.6332300542597373
207,Colegio Público Real Armada,Colegio Público,Calle Corregidor Juan Francisco De Lujan 114,40.401704924123834,-3.645563131710102
208,Colegio Público Regimiento Inmemorial del Rey,Colegio Público,Avenida Moratalaz 51,40.407386072133015,-3.6573909677766716
209,Colegio Público Reina Victoria,Colegio Público,Calle Principe De Vergara 61,40.43350060791133,-3.679668747386544
210,Colegio Público República Dominicana,Colegio Público,Ronda Don Bosco 2,40.37628543221565,-3.752199516614656
211,Colegio Público República de Brasil,Colegio Público,Avenida Fueros 34,40.37043939785913,-3.6899302716018574
212,Colegio Público República de Chile,Colegio Público,Calle Castillo De Ucles 28,40.42809852476456,-3.6247839198679577
213,Colegio Público República de Colombia,Colegio Público,Plaza Alloz 3,40.37598607317299,-3.737129783095065
