,BiciMAD station,Station location,Coordinates
168,166 - Segovia 26,Calle Segovia nº 26,"[-3.7135833, 40.4138333]"
169,167 - Segovia 45,Calle Segovia nº 45,"[-3.717487, 40.413736]"
170,168 - Batalla del Salado,Paseo Santa María de la Cabeza nº 29,"[-3.6959166, 40.4044722]"
171,169 - Pirámides,Calle Toledo nº 181,"[-3.7138055, 40.4016111]"
172,170 - Paseo de la Esperanza,Paseo de la Esperanza nº 21,"[-3.7043611, 40.401]"
173,171 - Embajadores-Cáceres,Calle Embajadores nº 101,"[-3.6983888, 40.39975]"
174,172 - Delicias,Calle Bustamante nº 1,"[-3.6935833, 40.4008888]"
175,173 - Puente Praga,Paseo de la Esperanza nº 59,"[-3.7023918, 40.3981798]"
176,174 - Madrid Río-Yeserías,Paseo de Yeserías nº 45,"[-3.7065277, 40.3974444]"
177,175 - Jaime el Conquistador,Calle Jaime el Conquistador nº 30,"[-3.6983055, 40.3962222]"
178,176 - Beata,Calle Alicante nº 3,"[-3.6937222, 40.39425]"
179,177 - Legazpi,Calle Bolívar nº 3,"[-3.6941944, 40.3914722]"
180,178 - Junta Municipal Retiro,Calle León Gil de Palacio nº 3,"[-3.6788343, 40.4029202]"
181,179 - Puente de Vallecas,Avenida de la Albufera nº 6,"[-3.66925, 40.3979722]"
182,180 - Méndez Álvaro,Calle Retama nº 5,"[-3.6758888, 40.3941388]"
183,181 - Retiro-Ibiza,Calle Ibiza nº 18,"[-3.6766111, 40.41825]"
184,182 - Parque Roma,Calle Alcalde Sáinz de Baranda frente al nº 107,"[-3.6657777, 40.4186666]"
185,183 - Doctor Esquerdo-Hermosilla,Calle Hermosilla nº 135,"[-3.669339, 40.425635]"
186,184 - Marqués de Zafra,Paseo Marqués de Zafra nº 24,"[-3.6653055, 40.426]"
187,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,"[-3.6615277, 40.4250833]"
188,186 - General Pardiñas,Calle General Pardiñas nº 56,"[-3.6782777, 40.4290555]"
189,187 - Alcalá-Ventas,Calle Alejandro González nº 1,"[-3.6638888, 40.4301666]"
190,188 - Puente de Ventas,Avenida de Daroca nº 2,"[-3.6590555, 40.4311944]"
191,189 - Avenida Donostiarra,Calle Virgen de la Alegría nº 18,"[-3.6554918, 40.4351256]"
192,190 - Velázquez-Diego de León,Calle Velázquez nº 91,"[-3.6835833, 40.4343333]"
193,191 - Diego de león,Calle Alonso Heredia nº 1,"[-3.674, 40.4346388]"
194,192 - Avenida de los Toreros,Avenida de los Toreros nº 3,"[-3.6714166, 40.4318611]"
195,193 - Ventas,Avenida de los Toreros nº 49,"[-3.6655555, 40.4324722]"
196,194 - Avenida de América 2,Calle Francisco Silvela nº 86,"[-3.6772222, 40.43725]"
197,195 - Avenida de América 1,Calle Padre Indalecio Hernández nº 1,"[-3.6754444, 40.4392222]"
198,196 - Prosperidad,Calle Suero de Quiñones nº 2,"[-3.6751388, 40.4441388]"
199,197 - Parque Berlín,Avenida de Concha Espina nº 34,"[-3.6780555, 40.4515833]"
200,198 - Rubén Darío,Glorieta Rubén Darío 2,"[-3.6915555, 40.4331111]"
201,199 - Fernando el Católico,Calle Fernando el Católico nº 61,"[-3.7149166, 40.4343611]"
202,200 - Quevedo,Glorieta de Quevedo nº 5,"[-3.7046666, 40.4336944]"
203,201 - Canal,Calle José Abascal frente al nº 2,"[-3.7038333, 40.4386944]"
204,202 - Parque Santander,Calle Santander esquina con Avenida de Filipinas,"[-3.7080833, 40.4411388]"
205,203 - San Francisco de Sales,Calle General Ampudia nº 2,"[-3.7144722, 40.44175]"
206,204 - Cuatro Caminos 2,Calle Doctor Santero nº 1,"[-3.7041666, 40.4476666]"
207,205 - Estrecho,Calle Navarra nº 1,"[-3.7032777, 40.4535]"
208,206 - Metro Tetuán,Calle Marqués de Viana nº 3,"[-3.6989925, 40.4607502]"
209,207 - Remonta,Calle Azucenas nº 1,"[-3.6973333, 40.4630277]"
210,208 - Plaza de Castilla,Paseo de la Castellana nº 216,"[-3.6886388, 40.4663611]"
211,209 - Plaza de Castilla 2,Paseo Castellana (Fundación Canal),"[-3.6887722, 40.4656779]"
212,210 - Tres Cruces,Calle Tres Cruces nº 7,"[-3.7026735, 40.419674]"
213,211 - Desengaño,Calle Desengaño nº 1,"[-3.70239, 40.42059]"
214,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,"[-3.716591, 40.398247]"
215,213 - Glorieta de Cádiz,Calle Antonio López nº 129,"[-3.70017, 40.38895]"
216,214 - Condesa de Venadito,Calle Condesa de Venadito nº 2,"[-3.65741, 40.44315]"
217,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"[-3.640994, 40.429706]"
218,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,"[-3.728318, 40.413764]"
219,217 - Pedro Rico,Calle Pedro Rico nº 4,"[-3.688463, 40.481086]"
220,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28,"[-3.65779, 40.41053]"
221,219 - Marroquina,Calle Camino de los Vinateros nº 108,"[-3.646697, 40.408264]"
222,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,"[-3.65122, 40.40617]"
223,221 - Pavones,Calle Hacienda de Pavones nº 342,"[-3.634587, 40.400368]"
224,222 - Antonio López,Calle Eugenio Caxes frente al nº 12,"[-3.7026789, 40.3917871]"
225,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48,"[-3.7244893989507686, 40.406837862773465]"
226,224 - Caramuel,Calle Caramuel nº 51,"[-3.728533714316331, 40.40913630273305]"
227,225 - Doctor Lozano,Calle Sierra Toledana nº 33,"[-3.660188083470652, 40.40248333540473]"
228,226 - Sierra Toledana,Camino de Valderribas nº 94,"[-3.6607768678037744, 40.39901531507069]"
229,227 - Concordia,Calle Arroyo del Olivar nº 6,"[-3.6659362429356372, 40.39382977920336]"
230,228 - San Delfín,Calle San Delfín nº 9,"[-3.7080429728445563, 40.39440607959559]"
231,229 - C.D. Concepción,Calle Jose del Hierro nº 5,"[-3.64835857929032, 40.43715089959262]"
232,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,"[-3.648958444298144, 40.44370542379883]"
233,231 - Derechos Humanos,Calle Derechos Humanos nº 12,"[-3.6557656204708775, 40.43965673033275]"
234,232 - José María Pereda,Calle José María de Pereda nº 1,"[-3.6485306152875148, 40.43272086245887]"
235,233 - Marqués de Corbera 12,Avenida Marqués de Corbera nº 12,"[-3.6555552857442697, 40.422962108947424]"
236,234 - Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,"[-3.651034981803642, 40.426207143200884]"
237,235 - Embajadores 191,Calle Sodio nº 1B,"[-3.6903589643353483, 40.389258643579105]"
238,236 - Paseo Imperial,Paseo Imperial nº 20,"[-3.7172213778842007, 40.40765396169372]"
239,237 - Pablo Iglesias,Calle Francisco Balseiro nº 1,"[-3.710525, 40.451333]"
240,238 - San Germán 5,Calle San Germán nº 5,"[-3.6929376751795306, 40.45619382579544]"
241,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,"[-3.708002730875242, 40.45673408797698]"
242,240 - Avenida Brasilia,Avenida de Brasilia frente al nº 9,"[-3.66096, 40.43666]"
243,241 - Camilo José Cela,Avenida de Camilo José Cela nº 23,"[-3.66779, 40.4378]"
244,242 - Avenida Bruselas,Avenida Bruselas nº 56,"[-3.66301, 40.43865]"
245,243 - Cartagena,Calle Cartagena nº 34,"[-3.67012, 40.43503]"
246,244 - Hospital Clínico,Calle Isaac Peral nº 44,"[-3.71757, 40.44003]"
247,245 - Galileo,Calle Galileo nº 63,"[-3.71019, 40.4364]"
248,246 - Santa Engracia 87,Calle Santa Engracia nº 87,"[-3.69928, 40.43604]"
249,247 - Zurbano,Calle Zurbano nº 90,"[-3.69281, 40.43837]"
250,248 - Torre Cepsa,Calle Sinesio Delgado nº 2,"[-3.68797, 40.47435]"
251,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,"[-3.68532, 40.47938]"
252,250 - Serrano 113,Calle Serrano nº 113B,"[-3.68609, 40.44106]"
253,251 - Corazón de María,Calle Santa Hortensia nº 31,"[-3.66683, 40.44421]"
254,252 - Chamartín,Calle Rodríguez Jaén nº 40,"[-3.68391, 40.4716]"
255,253 - Doctor Fleming,Calle Doctor Fleming nº 7,"[-3.68844, 40.45546]"
256,254 - Pío XII,Avenida Pío XII nº 3,"[-3.67712, 40.46041]"
257,255 - López Pozas,Calle General López Pozas nº 2,"[-3.68514, 40.46361]"
258,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,"[-3.71383, 40.44635]"
259,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,"[-3.72997, 40.43896]"
260,258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),"[-3.72699, 40.44375]"
261,259 - Ciudad Universitaria 2,Avenida de la Complutense (Metro Ciudad Universitaria),"[-3.72693, 40.44342]"
262,260 - Facultad Biología,Calle José Antonio Novais frente al nº 12,"[-3.7272945, 40.4483322]"
263,261 - Facultad Derecho,Avenida Complutense nº 23,"[-3.72937, 40.45109]"
