Place of interest,Type of place,Place address,BiciMAD station,Station location
Colegio Público Ciudad de Roma,Colegio Público,Calle Juan Esplandiu 2,Parque Roma,Calle Alcalde Sáinz de Baranda frente al 107
Colegio Público Ciudad de Valencia,Colegio Público,Avenida Mediterraneo 91,Pavones,Calle Hacienda de Pavones 342
Colegio Público Ciudad de Zaragoza,Colegio Público,Calle Manuel Aguilar Muñoz 1,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público Ciudad de los Ángeles,Colegio Público,Calle La Alegria De La Huerta 6,Glorieta de Cádiz,Calle Antonio López 129
Colegio Público Claudio Moyano,Colegio Público,Calle Cea Bermudez 26,Parque Santander,Calle Santander esquina con Avenida de Filipinas
Colegio Público Complejo Escolar Príncipe Felipe,Colegio Público,Avenida Monforte De Lemos 24,Pedro Rico,Calle Pedro Rico 4
Colegio Público Concepción Arenal,Colegio Público,Calle Antonio Lopez 1,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
Colegio Público Concha Espina,Colegio Público,Calle Gerardo Diego 6,Pavones,Calle Hacienda de Pavones 342
Colegio Público Conde de Romanones,Colegio Público,Calle Elfo 143,C.D. Concepción,Calle Jose del Hierro 5
Colegio Público Cortes de Cádiz,Colegio Público,Avenida Niceto Alcala Zamora 48,Manuel Caldeiro,Paseo de la Castellana 298
Colegio Público Costa Rica,Colegio Público,Calle Camarena 247,Caramuel,Calle Caramuel 51
Colegio Público Cristóbal Colón,Colegio Público,Carretera Carabanchel A Villaverde 109,Glorieta de Cádiz,Calle Antonio López 129
Colegio Público Cuba,Colegio Público,Calle Tembleque 58,Caramuel,Calle Caramuel 51
Colegio Público Daniel Vázquez Díaz,Colegio Público,Calle Armenteros 46,Francos Rodríguez,Calle Francos Rodríguez 62
Colegio Público Dionisio Ridruejo,Colegio Público,Calle Zipaquira 14,Carlota O’Neill,Calle Carlota O'Neill 32
Colegio Público Doctor Conde Arruga,Colegio Público,Calle Hacienda De Pavones 105,Marroquina,Calle Camino de los Vinateros 108
Colegio Público Doctor Federico Rubio,Colegio Público,Avenida Doctor Federico Rubio Y Gali 53,Pablo Iglesias,Calle Francisco Balseiro 1
Colegio Público Doctor Severo Ochoa,Colegio Público,Calle Ezcaray 3,Pavones,Calle Hacienda de Pavones 342
Colegio Público Doctor Tolosa Latour,Colegio Público,Calle Asturianos 4,Pavones,Calle Hacienda de Pavones 342
Colegio Público Dámaso Alonso,Colegio Público,Avenida Espinela 1,Glorieta de Cádiz,Calle Antonio López 129
Colegio Público EEUU - Huarte de San Juan,Colegio Público,Paseo Comandante Fortea 71,Paseo de Moret,Paseo de Moret 11
Colegio Público Eduardo Rojo,Colegio Público,Calle Eduardo Rojo 5,Concordia,Calle Arroyo del Olivar 6
Colegio Público El Espinillo,Colegio Público,Calle Unanimidad 1,Embajadores 191,Calle Sodio 1B
Colegio Público El Greco,Colegio Público,Calle Estefanita 7,Embajadores 191,Calle Sodio 1B
Colegio Público El Madroño,Colegio Público,Calle Las Marismas 14,Plaza del Encuentro,Calle Arroyo de las Pilillas 6
Colegio Público El Quijote,Colegio Público,Calle Fuentidueña 4,Pavones,Calle Hacienda de Pavones 342
Colegio Público El Sol,Colegio Público,Avenida Canillejas A Vicalvaro 82,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público Emilia Pardo Bazán,Colegio Público,Calle Ventorrillo 14,Ribera de Curtidores,Calle Ribera de Curtidores 28
Colegio Público Ermita del Santo,Colegio Público,Paseo Ermita Del Santo 18,Ermita Santo,Paseo de la Ermita del Santo 48
Colegio Público Escuelas Aguirre,Colegio Público,Calle Pio Baroja 4,Pío Baroja,Calle Pío Baroja 10
Colegio Público Escuelas Bosque,Colegio Público,Avenida Santo Angel De La Guarda 4,Francos Rodríguez,Calle Francos Rodríguez 62
Colegio Público Esperanza,Colegio Público,Calle Andorra 12,Carlota O’Neill,Calle Carlota O'Neill 32
Colegio Público Eugenio María de Hostos,Colegio Público,Calle Valdevarnes 26,Francos Rodríguez,Calle Francos Rodríguez 62
Colegio Público Felipe II,Colegio Público,Avenida Asturias 70,Remonta,Calle Azucenas 1
Colegio Público Fernando el Católico,Colegio Público,Calle Fernando El Catolico 16,Fernando el Católico,Calle Fernando el Católico 19
Colegio Público Fernández de Moratín,Colegio Público,Avenida Valladolid 2,Paseo de Moret,Paseo de Moret 11
Colegio Público Filósofo Séneca,Colegio Público,Calle Santa Adela 21,Pío XII,Avenida Pío XII 3
Colegio Público Fontarrón,Colegio Público,Calle Arroyo Fontarron 24,Pavones,Calle Hacienda de Pavones 342
Colegio Público Francisco Arranz,Colegio Público,Calle Sondica 2,Caramuel,Calle Caramuel 51
Colegio Público Francisco Fatóu,Colegio Público,Camino Suerte 23,Pavones,Calle Hacienda de Pavones 342
Colegio Público Francisco Ruano,Colegio Público,Calle Almuradiel 150,Méndez Álvaro,Calle Retama 5
Colegio Público Francisco de Goya,Colegio Público,Calle Antillon 23,Caramuel,Calle Caramuel 51
Colegio Público Francisco de Luis,Colegio Público,Calle Corregidor Rodrigo Rodriguez 5,Camino Vinateros,Calle Camino de los Vinateros 28
Colegio Público Francisco de Quevedo,Colegio Público,Calle Granada 16,Puerta de Granada,Avenida de Menéndez Pelayo 38
Colegio Público Fray Junípero Serra,Colegio Público,Camino Valderribas 120,Sierra Toledana,Camino de Valderribas 94
Colegio Público Gabriela Mistral,Colegio Público,Calle Mirallos 3,Manuel Caldeiro,Paseo de la Castellana 298
Colegio Público Gandhi,Colegio Público,Calle Gandhi 10,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público Garcilaso de la Vega,Colegio Público,Calle Trefacio 18,Carlota O’Neill,Calle Carlota O'Neill 32
Colegio Público García Morente,Colegio Público,Ronda Sur 229,Concordia,Calle Arroyo del Olivar 6
Colegio Público Giner de los Ríos,Colegio Público,Calle Membezar 25,Concordia,Calle Arroyo del Olivar 6
Colegio Público Gloria Fuertes,Colegio Público,Calle Censo 3,Glorieta de Cádiz,Calle Antonio López 129
Colegio Público Gonzalo Fernández de Córdoba,Colegio Público,Calle Adanero 3,Caramuel,Calle Caramuel 51
Colegio Público Gonzalo de Berceo,Colegio Público,Avenida Abrantes 5,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
Colegio Público Guindalera,Colegio Público,Calle Boston 3,Camilo José Cela,Avenida de Camilo José Cela 23
Colegio Público Gustavo Adolfo Bécquer,Colegio Público,Calle Santa Genoveva 32,Marqués de Corbera 52,Avenida Marqués de Corbera 52
Colegio Público Haití,Colegio Público,Calle Guabairo 22,Caramuel,Calle Caramuel 51
Colegio Público Hermanos Pinzón,Colegio Público,Calle Azor 4,Caramuel,Calle Caramuel 51
Colegio Público Hernán Cortés,Colegio Público,Calle Los Yebenes 241,Caramuel,Calle Caramuel 51
Colegio Público Honduras,Colegio Público,Paseo Federico Garcia Lorca 19,Pavones,Calle Hacienda de Pavones 342
Colegio Público Hortaleza,Colegio Público,Calle Valdetorres De Jarama 1,Carlota O’Neill,Calle Carlota O'Neill 32
Colegio Público Ignacio Zuloaga,Colegio Público,Calle Alejandro Rodriguez 34,Francos Rodríguez,Calle Francos Rodríguez 62
Colegio Público Infanta Leonor,Colegio Público,Calle Monasterio De El Paular 140,Pedro Rico,Calle Pedro Rico 4
Colegio Público Isaac Albéniz,Colegio Público,Calle Dracena 29,Pío XII,Avenida Pío XII 3
Colegio Público Isaac Peral,Colegio Público,Glorieta Rufino Novalvos 5,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
Colegio Público Isabel la Católica,Colegio Público,Calle Barcelo 2,Barceló,Calle Barceló 7
Colegio Público Jaime Balmes,Colegio Público,Calle Sierra De La Solana 2,Concordia,Calle Arroyo del Olivar 6
Colegio Público Jaime Vera,Colegio Público,Calle Bravo Murillo 162,Estrecho,Calle Navarra 1
Colegio Público Javier de Miguel,Colegio Público,Calle Javier De Miguel 90,Concordia,Calle Arroyo del Olivar 6
Colegio Público Joaquín Costa,Colegio Público,Paseo Pontones 8,Paseo Imperial,Paseo Imperial 20
Colegio Público Joaquín Dicenta,Colegio Público,Paseo Olivos 70,Caramuel,Calle Caramuel 51
Colegio Público Joaquín Turina,Colegio Público,Calle Arturo Soria 332,Manuel Caldeiro,Paseo de la Castellana 298
Colegio Público Jorge Guillén,Colegio Público,Avenida El Ferrol 47,Remonta,Calle Azucenas 1
Colegio Público Jorge Manrique,Colegio Público,Plaza Pintor Lucas 17,San Delfín,Calle San Delfín 9
Colegio Público Josep Tarradellas,Colegio Público,Calle Triacastela 1,Manuel Caldeiro,Paseo de la Castellana 298
Colegio Público José Bergamín,Colegio Público,Calle Braille 19,Pedro Rico,Calle Pedro Rico 4
Colegio Público José Calvo Sotelo,Colegio Público,Avenida Ciudad De Barcelona 83,Pedro Bosch,Calle Cerro de la Plata 2
Colegio Público José María de Pereda,Colegio Público,Calle Mestanza 94,Méndez Álvaro,Calle Retama 5
Colegio Público José Ortega y Gasset,Colegio Público,Calle Orense 87,Remonta,Calle Azucenas 1
Colegio Público José de Echegaray,Colegio Público,Calle Puentedey 14,Pavones,Calle Hacienda de Pavones 342
Colegio Público Jovellanos,Colegio Público,Calle Monroy 34,Caramuel,Calle Caramuel 51
Colegio Público Juan Gris,Colegio Público,Calle Muela De San Juan 31,Pavones,Calle Hacienda de Pavones 342
Colegio Público Juan Ramón Jiménez,Colegio Público,Calle Marques De Viana 58,Metro Tetuán,Calle Marqués de Viana 3
Colegio Público Juan Sebastián Elcano,Colegio Público,Calle Mirasierra 29,Antonio López,Calle Eugenio Caxes frente al 12
Colegio Público Juan Zaragüeta,Colegio Público,Calle Via De Los Poblados 19,Carlota O’Neill,Calle Carlota O'Neill 32
Colegio Público Juan de la Cierva,Colegio Público,Calle Villarrosa 7,Embajadores 191,Calle Sodio 1B
Colegio Público Julián Besteiro,Colegio Público,Avenida Abrantes 79,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
Colegio Público Julián Marías,Colegio Público,Calle Budapest 11,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público La Alameda,Colegio Público,Calle Musas 9,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público La Dehesa del Príncipe,Colegio Público,Paseo Lanceros 4,Caramuel,Calle Caramuel 51
Colegio Público La Latina,Colegio Público,Calle Maqueda 130,Caramuel,Calle Caramuel 51
Colegio Público La Rioja,Colegio Público,Calle Leon Felipe 3,Pavones,Calle Hacienda de Pavones 342
Colegio Público Legado Crespo,Colegio Público,Paseo Acacias 2,Embajadores 1,Glorieta de Embajadores 6
Colegio Público Leopoldo Alas,Colegio Público,Calle Pedrezuela 18,Marqués de Corbera 52,Avenida Marqués de Corbera 52
