,BiciMAD station,Station location,Latitude,Longitude
222,Embajadores 191,Calle Sodio 1B,40.389258643579105,-3.6903589643353483
223,Carlota O’Neill,Calle Carlota O'Neill 32,40.44370542379883,-3.648958444298144
224,Glorieta de Cádiz,Calle Antonio López 129,40.38895,-3.70017
225,Canal,Calle José Abascal frente al 2,40.4386944,-3.7038333
226,Paseo de la Esperanza,Paseo de la Esperanza 21,40.401,-3.7043611
227,Marqués de Vadillo,Glorieta Marqués de Vadillo 9,40.398247,-3.716591
228,Segovia 26,Calle Segovia 26,40.4138333,-3.7135833
229,Puerta de Granada,Avenida de Menéndez Pelayo 38,40.4051451,-3.6803874
230,Condesa de Venadito,Calle Condesa de Venadito 2,40.44315,-3.65741
231,Marqués de Corbera 12,Avenida Marqués de Corbera 12,40.422962108947424,-3.6555552857442697
232,Pío XII,Avenida Pío XII 3,40.46041,-3.67712
233,Pío XII,Avenida Pío XII 3,40.46041,-3.67712
234,Sierra Toledana,Camino de Valderribas 94,40.39901531507069,-3.6607768678037744
235,Glorieta de Cádiz,Calle Antonio López 129,40.38895,-3.70017
236,Ribera de Curtidores,Calle Ribera de Curtidores 28,40.4053153,-3.7071259
237,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
238,Embajadores 191,Calle Sodio 1B,40.389258643579105,-3.6903589643353483
239,Pirámides,Calle Toledo 181,40.4016111,-3.7138055
240,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
241,Pedro Rico,Calle Pedro Rico 4,40.481086,-3.688463
242,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
243,Plaza del Encuentro,Calle Arroyo de las Pilillas 6,40.40617,-3.65122
244,Manuel Caldeiro,Paseo de la Castellana 298,40.47938,-3.68532
245,Plaza de San Francisco,Plaza de San Francisco 5,40.4108,-3.714113
246,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
247,Parque Santander,Calle Santander esquina con Avenida de Filipinas,40.4411388,-3.7080833
248,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
